,Course,Turn Stdev,Total Degrees Turned,Perimeters/Total Distance,Course Area (m^2),Number of Hairpin Turns,Hill Stdev,Tallest Hill (m),Length of tallest hill (m),Number of Hills,Total Elevation Gain (m),Total Elevation Gain Unfiltered (m),Start Lat,Start Lon,Course Ave. GAP - Strava,Course Ave. GAP - Minetti
0,King City 10km,18.538448973815985,10872.224941729442,10038.907997376455,-950170.3903407753,4,6.439813635131048,31.69999999999999,0.8949611011533829,8,2896.800000000009,2897.6101631127835,43.958538,-79.513373,1073.531822657948,-976.7061895754329
1,Western International 10km,25.087924815827066,10432.960095903249,9968.833142537931,460036.1734986305,4,8.9587467823826,28.30000000000001,0.6240000000000006,9,3191.1999999999903,3191.3018242371077,42.962418,-81.301822,-53.716156182741486,87.11416443117602
2,Louisville Classic 8km,19.73802316471188,6781.40328805171,8540.026287166615,643863.7312424183,0,2.987805266709658,13.400000000000006,2.3691200402520183,2,1072.7999999999984,1074.0255320463566,38.281832,-85.556895,1.0541978347138437,1.0210899591903835
3,Fort Henry 10km,25.75971545742322,11634.60787445742,10110.72700446074,-324374.35903185606,4,1.630664902837931,9.200000000000003,1.287429588114719,3,1329.549999999997,1329.3332203557375,44.236265,-76.46062,1.0162910223789001,1.015433642770173
4,Point Pleasant Park,34.12429255306913,15666.400836142191,9724.775310007588,228902.22424055636,16,8.122114101586797,17.200000000000003,0.4458029914121848,8,2615.4499999999866,2616.215501271551,44.61874,-63.56579,42.698569839484946,-30.216388889324307
5,Malden Park 10km,22.86348682080748,12617.610142733713,9634.529661813229,-651923.8141685724,5,3.6840664783611112,6.100000000000023,0.34158947546036816,1,1770.6999999999764,1770.651960697789,42.279559,-83.068669,-5.2128722300776715,13.498178911118142
6,Moncton Classic 8km,28.408746846064318,12423.227402196197,8300.695757616548,112459.94559177756,4,1.6167200595093911,6.899999999999999,1.12340551335781,3,748.6499999999983,749.0079824118062,46.106609,-64.784758,-14505.365489434045,17278.6729521446
7,Guelph Arboretum 7_5km,25.00121832081395,8124.119436725877,7500.441631066507,-523345.15798576176,0,4.846169139497615,12.699999999999989,0.32001495443314987,8,1754.149999999984,1754.10883827126,43.541459,-80.223312,109416.27037579911,-109539.81297446451
8,Fanshawe Invitational 8km,24.18020649841233,8634.827413088222,8126.2885533475155,609178.0068256892,4,2.4766328965194595,10.600000000000023,2.0821125222211254,6,1416.4499999999916,1416.372596344911,43.05817,-81.183843,29.02235597489107,-20.49413774812022
9,StFX Invitational 8km,58.441979895420985,86506.59678709316,7862.697327340802,209436.04010737315,71,4.948746791268428,12.7,0.44140331167277846,8,839.5999999999988,838.7783874458906,45.6166,-61.990704,16273.805299487247,-15843.841781705692
10,Odell Park 7_5km,29.603464608845087,11187.967765392998,7984.955850947388,-282688.2570681572,3,9.994809702915655,36.699999999999996,0.6645712247462932,4,3767.799999999994,3767.319233882045,45.95545,-66.661154,27.358405585555083,-8.518239767378821
11,Guelph Arboretum 10km,24.35463956720964,11532.607017120092,10088.535559730606,-665319.6777717471,9,3.005645543678976,14.5,0.5144019358495382,4,2565.349999999981,2566.951771870578,43.540751,-80.222459,-0.2714375527275525,4.930563742834804
12,Loyola Lakefront 8km,23.426609331689214,10541.426992275536,8107.435287622886,383615.5939440131,2,1.2891446409976237,8.599999999999994,2.4034554622690782,2,982.1500000000003,982.0601834456497,41.96443385714286,-87.63718728571428,1.3010419383442646,1.9027044826825033
13,Victoria Park 6km,27.447763142557925,10800.627070801795,6025.609582222477,227856.41811778396,3,1.519160421398987,5.6,0.6706882355216646,3,727.1000000000078,727.0346746040303,46.229214,-63.13715,1.0616424182442608,1.1285129825123605
14,Abbotsford 10km,24.239589515008372,14742.197129092754,10007.71949676206,344111.1839257479,1,3.0012255311667397,12.300000000000004,1.3556692799388284,5,2225.6999999999794,2226.7046911182265,49.069007,-122.33526,-30564.320791233717,35928.84014084823
15,Terre Haute 10km,17.121750880246488,4031.854407678253,10307.794824598639,-476844.6123980284,0,4.517599755934259,14.579999999999984,0.772321489919519,6,4733.9999999999745,4737.534860697932,39.46029916,-87.26080142,1.0261980674271456,1.0469518719323734
16,Western International 8km,28.512731679469507,7912.138150858675,8000.9268664227475,360970.0442174673,6,8.118299323532952,22.570833333333326,0.6495967813161582,6,2333.3999999999937,2333.533374813463,42.962476,-81.302148,1.831842239444754,1.068569160448816
17,Bayfront Park 7km,38.154109517206564,56106.85330601091,8304.20852117629,-143937.636110425,19,1.4540248840816499,6.299999999999997,1.26644616784123,9,721.5000000000026,721.759386724391,43.27158,-79.872869,-17.863392684946145,33.42535673304508
